SKU Number,Supplier Type,Lead Time - Columbus,Columbus - Days on Hand,Lead Time - Sacramento,Sacramento - Days on Hand,Lead Time - Austin,Austin Days on Hand
SKUW1,International,34,3,28,3,32,3
SKUW2,International,34,3,28,3,32,3
SKUW3,International,34,3,28,3,32,3
SKUA1,Domestic,5,7,11,7,9,7
SKUA2,Domestic,5,7,11,7,9,7
SKUA3,Domestic,5,7,11,7,9,7
SKUT1,Domestic,8,7,3,7,7,7
SKUT2,Domestic,8,7,3,7,7,7
SKUT3,Domestic,8,7,3,7,7,7
SKUT4,Domestic,8,7,3,7,7,7
SKUD1,Domestic,7,7,10,7,8,7
SKUD2,Domestic,7,7,10,7,8,7
SKUD3,Domestic,7,7,10,7,8,7
SKUC1,Domestic,6,7,15,7,11,7
SKUC2,Domestic,6,7,15,7,11,7
SKUE1,International,37,3,31,3,35,3
SKUE2,International,37,3,31,3,35,3
SKUE3,International,37,3,31,3,35,3
