SKU Number,Supplier Type,Lead Time - Columbus,Columbus - Days on Hand,Lead Time - Sacramento,Sacramento - Days on Hand,Lead Time - Austin,Austin Days on Hand
SKUW1,International,34,12,28,12,32,12
SKUW2,International,34,12,28,12,32,12
SKUW3,International,34,12,28,12,32,12
SKUA1,Domestic,5,2,11,2,9,2
SKUA2,Domestic,5,2,11,2,9,2
SKUA3,Domestic,5,2,11,2,9,2
SKUT1,Domestic,8,2,3,2,7,2
SKUT2,Domestic,8,2,3,2,7,2
SKUT3,Domestic,8,2,3,2,7,2
SKUT4,Domestic,8,2,3,2,7,2
SKUD1,Domestic,7,2,10,2,8,2
SKUD2,Domestic,7,2,10,2,8,2
SKUD3,Domestic,7,2,10,2,8,2
SKUC1,Domestic,6,2,15,2,11,2
SKUC2,Domestic,6,2,15,2,11,2
SKUE1,International,37,12,31,12,35,12
SKUE2,International,37,12,31,12,35,12
SKUE3,International,37,12,31,12,35,12
