SKU Number,Supplier Type,Lead Time - Columbus,Columbus - Days on Hand,Lead Time - Sacramento,Sacramento - Days on Hand,Lead Time - Austin,Austin Days on Hand
SKUW1,International,34,29.00588500260368,28,29.00588500260368,32,29.00588500260368
SKUW2,International,34,29.00588500260368,28,29.00588500260368,32,29.00588500260368
SKUW3,International,34,29.00588500260368,28,29.00588500260368,32,29.00588500260368
SKUA1,Domestic,5,19.00588500260368,11,19.00588500260368,9,19.00588500260368
SKUA2,Domestic,5,19.00588500260368,11,19.00588500260368,9,19.00588500260368
SKUA3,Domestic,5,19.00588500260368,11,19.00588500260368,9,19.00588500260368
SKUT1,Domestic,8,19.00588500260368,3,19.00588500260368,7,19.00588500260368
SKUT2,Domestic,8,19.00588500260368,3,19.00588500260368,7,19.00588500260368
SKUT3,Domestic,8,19.00588500260368,3,19.00588500260368,7,19.00588500260368
SKUT4,Domestic,8,19.00588500260368,3,19.00588500260368,7,19.00588500260368
SKUD1,Domestic,7,19.00588500260368,10,19.00588500260368,8,19.00588500260368
SKUD2,Domestic,7,19.00588500260368,10,19.00588500260368,8,19.00588500260368
SKUD3,Domestic,7,19.00588500260368,10,19.00588500260368,8,19.00588500260368
SKUC1,Domestic,6,19.00588500260368,15,19.00588500260368,11,19.00588500260368
SKUC2,Domestic,6,19.00588500260368,15,19.00588500260368,11,19.00588500260368
SKUE1,International,37,29.00588500260368,31,29.00588500260368,35,29.00588500260368
SKUE2,International,37,29.00588500260368,31,29.00588500260368,35,29.00588500260368
SKUE3,International,37,29.00588500260368,31,29.00588500260368,35,29.00588500260368
