SKU Number,Supplier Type,Lead Time - Columbus,Columbus - Days on Hand,Lead Time - Sacramento,Sacramento - Days on Hand,Lead Time - Austin,Austin Days on Hand
SKUW1,International,34,55.9276245672472,28,55.9276245672472,32,55.9276245672472
SKUW2,International,34,55.9276245672472,28,55.9276245672472,32,55.9276245672472
SKUW3,International,34,55.9276245672472,28,55.9276245672472,32,55.9276245672472
SKUA1,Domestic,5,45.9276245672472,11,45.9276245672472,9,45.9276245672472
SKUA2,Domestic,5,45.9276245672472,11,45.9276245672472,9,45.9276245672472
SKUA3,Domestic,5,45.9276245672472,11,45.9276245672472,9,45.9276245672472
SKUT1,Domestic,8,45.9276245672472,3,45.9276245672472,7,45.9276245672472
SKUT2,Domestic,8,45.9276245672472,3,45.9276245672472,7,45.9276245672472
SKUT3,Domestic,8,45.9276245672472,3,45.9276245672472,7,45.9276245672472
SKUT4,Domestic,8,45.9276245672472,3,45.9276245672472,7,45.9276245672472
SKUD1,Domestic,7,45.9276245672472,10,45.9276245672472,8,45.9276245672472
SKUD2,Domestic,7,45.9276245672472,10,45.9276245672472,8,45.9276245672472
SKUD3,Domestic,7,45.9276245672472,10,45.9276245672472,8,45.9276245672472
SKUC1,Domestic,6,45.9276245672472,15,45.9276245672472,11,45.9276245672472
SKUC2,Domestic,6,45.9276245672472,15,45.9276245672472,11,45.9276245672472
SKUE1,International,37,55.9276245672472,31,55.9276245672472,35,55.9276245672472
SKUE2,International,37,55.9276245672472,31,55.9276245672472,35,55.9276245672472
SKUE3,International,37,55.9276245672472,31,55.9276245672472,35,55.9276245672472
