SKU Number,Supplier Type,Lead Time - Columbus,Columbus - Days on Hand,Lead Time - Sacramento,Sacramento - Days on Hand,Lead Time - Austin,Austin Days on Hand
SKUW1,International,34,3,28,3,32,3
SKUW2,International,34,3,28,3,32,3
SKUW3,International,34,3,28,3,32,3
SKUA1,Domestic,5,2,11,2,9,2
SKUA2,Domestic,5,2,11,2,9,2
SKUA3,Domestic,5,2,11,2,9,2
SKUT1,Domestic,8,2,3,2,7,2
SKUT2,Domestic,8,2,3,2,7,2
SKUT3,Domestic,8,2,3,2,7,2
SKUT4,Domestic,8,2,3,2,7,2
SKUD1,Domestic,7,2,10,2,8,2
SKUD2,Domestic,7,2,10,2,8,2
SKUD3,Domestic,7,2,10,2,8,2
SKUC1,Domestic,6,2,15,2,11,2
SKUC2,Domestic,6,2,15,2,11,2
SKUE1,International,37,3,31,3,35,3
SKUE2,International,37,3,31,3,35,3
SKUE3,International,37,3,31,3,35,3
