SKU Number,Supplier Type,Lead Time - Columbus,Columbus - Days on Hand,Lead Time - Sacramento,Sacramento - Days on Hand,Lead Time - Austin,Austin Days on Hand
SKUW1,International,34,3,28,3,32,3
SKUW2,International,34,3,28,3,32,3
SKUW3,International,34,3,28,3,32,3
SKUA1,Domestic,5,14,11,14,9,14
SKUA2,Domestic,5,14,11,14,9,14
SKUA3,Domestic,5,14,11,14,9,14
SKUT1,Domestic,8,14,3,14,7,14
SKUT2,Domestic,8,14,3,14,7,14
SKUT3,Domestic,8,14,3,14,7,14
SKUT4,Domestic,8,14,3,14,7,14
SKUD1,Domestic,7,14,10,14,8,14
SKUD2,Domestic,7,14,10,14,8,14
SKUD3,Domestic,7,14,10,14,8,14
SKUC1,Domestic,6,14,15,14,11,14
SKUC2,Domestic,6,14,15,14,11,14
SKUE1,International,37,3,31,3,35,3
SKUE2,International,37,3,31,3,35,3
SKUE3,International,37,3,31,3,35,3
