SKU Number,Supplier Type,Lead Time - Columbus,Columbus - Days on Hand,Lead Time - Sacramento,Sacramento - Days on Hand,Lead Time - Austin,Austin Days on Hand
SKUW1,International,34,37.043537947948565,28,37.043537947948565,32,37.043537947948565
SKUW2,International,34,37.043537947948565,28,37.043537947948565,32,37.043537947948565
SKUW3,International,34,37.043537947948565,28,37.043537947948565,32,37.043537947948565
SKUA1,Domestic,5,27.043537947948565,11,27.043537947948565,9,27.043537947948565
SKUA2,Domestic,5,27.043537947948565,11,27.043537947948565,9,27.043537947948565
SKUA3,Domestic,5,27.043537947948565,11,27.043537947948565,9,27.043537947948565
SKUT1,Domestic,8,27.043537947948565,3,27.043537947948565,7,27.043537947948565
SKUT2,Domestic,8,27.043537947948565,3,27.043537947948565,7,27.043537947948565
SKUT3,Domestic,8,27.043537947948565,3,27.043537947948565,7,27.043537947948565
SKUT4,Domestic,8,27.043537947948565,3,27.043537947948565,7,27.043537947948565
SKUD1,Domestic,7,27.043537947948565,10,27.043537947948565,8,27.043537947948565
SKUD2,Domestic,7,27.043537947948565,10,27.043537947948565,8,27.043537947948565
SKUD3,Domestic,7,27.043537947948565,10,27.043537947948565,8,27.043537947948565
SKUC1,Domestic,6,27.043537947948565,15,27.043537947948565,11,27.043537947948565
SKUC2,Domestic,6,27.043537947948565,15,27.043537947948565,11,27.043537947948565
SKUE1,International,37,37.043537947948565,31,37.043537947948565,35,37.043537947948565
SKUE2,International,37,37.043537947948565,31,37.043537947948565,35,37.043537947948565
SKUE3,International,37,37.043537947948565,31,37.043537947948565,35,37.043537947948565
