SKU Number,Supplier Type,Lead Time - Columbus,Columbus - Days on Hand,Lead Time - Sacramento,Sacramento - Days on Hand,Lead Time - Austin,Austin Days on Hand
SKUW1,International,34,16.089274038664684,28,16.089274038664684,32,16.089274038664684
SKUW2,International,34,16.089274038664684,28,16.089274038664684,32,16.089274038664684
SKUW3,International,34,16.089274038664684,28,16.089274038664684,32,16.089274038664684
SKUA1,Domestic,5,6.089274038664682,11,6.089274038664682,9,6.089274038664682
SKUA2,Domestic,5,6.089274038664682,11,6.089274038664682,9,6.089274038664682
SKUA3,Domestic,5,6.089274038664682,11,6.089274038664682,9,6.089274038664682
SKUT1,Domestic,8,6.089274038664682,3,6.089274038664682,7,6.089274038664682
SKUT2,Domestic,8,6.089274038664682,3,6.089274038664682,7,6.089274038664682
SKUT3,Domestic,8,6.089274038664682,3,6.089274038664682,7,6.089274038664682
SKUT4,Domestic,8,6.089274038664682,3,6.089274038664682,7,6.089274038664682
SKUD1,Domestic,7,6.089274038664682,10,6.089274038664682,8,6.089274038664682
SKUD2,Domestic,7,6.089274038664682,10,6.089274038664682,8,6.089274038664682
SKUD3,Domestic,7,6.089274038664682,10,6.089274038664682,8,6.089274038664682
SKUC1,Domestic,6,6.089274038664682,15,6.089274038664682,11,6.089274038664682
SKUC2,Domestic,6,6.089274038664682,15,6.089274038664682,11,6.089274038664682
SKUE1,International,37,16.089274038664684,31,16.089274038664684,35,16.089274038664684
SKUE2,International,37,16.089274038664684,31,16.089274038664684,35,16.089274038664684
SKUE3,International,37,16.089274038664684,31,16.089274038664684,35,16.089274038664684
