SKU Number,Supplier Type,Lead Time - Columbus,Columbus - Days on Hand,Lead Time - Sacramento,Sacramento - Days on Hand,Lead Time - Austin,Austin Days on Hand
SKUW1,International,34,22.93490016835478,28,22.93490016835478,32,22.93490016835478
SKUW2,International,34,22.93490016835478,28,22.93490016835478,32,22.93490016835478
SKUW3,International,34,22.93490016835478,28,22.93490016835478,32,22.93490016835478
SKUA1,Domestic,5,12.93490016835478,11,12.93490016835478,9,12.93490016835478
SKUA2,Domestic,5,12.93490016835478,11,12.93490016835478,9,12.93490016835478
SKUA3,Domestic,5,12.93490016835478,11,12.93490016835478,9,12.93490016835478
SKUT1,Domestic,8,12.93490016835478,3,12.93490016835478,7,12.93490016835478
SKUT2,Domestic,8,12.93490016835478,3,12.93490016835478,7,12.93490016835478
SKUT3,Domestic,8,12.93490016835478,3,12.93490016835478,7,12.93490016835478
SKUT4,Domestic,8,12.93490016835478,3,12.93490016835478,7,12.93490016835478
SKUD1,Domestic,7,12.93490016835478,10,12.93490016835478,8,12.93490016835478
SKUD2,Domestic,7,12.93490016835478,10,12.93490016835478,8,12.93490016835478
SKUD3,Domestic,7,12.93490016835478,10,12.93490016835478,8,12.93490016835478
SKUC1,Domestic,6,12.93490016835478,15,12.93490016835478,11,12.93490016835478
SKUC2,Domestic,6,12.93490016835478,15,12.93490016835478,11,12.93490016835478
SKUE1,International,37,22.93490016835478,31,22.93490016835478,35,22.93490016835478
SKUE2,International,37,22.93490016835478,31,22.93490016835478,35,22.93490016835478
SKUE3,International,37,22.93490016835478,31,22.93490016835478,35,22.93490016835478
