SKU Number,Supplier Type,Lead Time - Columbus,Columbus - Days on Hand,Lead Time - Sacramento,Sacramento - Days on Hand,Lead Time - Austin,Austin Days on Hand
SKUW1,International,34,23.688191485737782,28,23.688191485737782,32,23.688191485737782
SKUW2,International,34,23.688191485737782,28,23.688191485737782,32,23.688191485737782
SKUW3,International,34,23.688191485737782,28,23.688191485737782,32,23.688191485737782
SKUA1,Domestic,5,13.688191485737782,11,13.688191485737782,9,13.688191485737782
SKUA2,Domestic,5,13.688191485737782,11,13.688191485737782,9,13.688191485737782
SKUA3,Domestic,5,13.688191485737782,11,13.688191485737782,9,13.688191485737782
SKUT1,Domestic,8,13.688191485737782,3,13.688191485737782,7,13.688191485737782
SKUT2,Domestic,8,13.688191485737782,3,13.688191485737782,7,13.688191485737782
SKUT3,Domestic,8,13.688191485737782,3,13.688191485737782,7,13.688191485737782
SKUT4,Domestic,8,13.688191485737782,3,13.688191485737782,7,13.688191485737782
SKUD1,Domestic,7,13.688191485737782,10,13.688191485737782,8,13.688191485737782
SKUD2,Domestic,7,13.688191485737782,10,13.688191485737782,8,13.688191485737782
SKUD3,Domestic,7,13.688191485737782,10,13.688191485737782,8,13.688191485737782
SKUC1,Domestic,6,13.688191485737782,15,13.688191485737782,11,13.688191485737782
SKUC2,Domestic,6,13.688191485737782,15,13.688191485737782,11,13.688191485737782
SKUE1,International,37,23.688191485737782,31,23.688191485737782,35,23.688191485737782
SKUE2,International,37,23.688191485737782,31,23.688191485737782,35,23.688191485737782
SKUE3,International,37,23.688191485737782,31,23.688191485737782,35,23.688191485737782
