SKU Number,Supplier Type,Lead Time - Columbus,Columbus - Days on Hand,Lead Time - Sacramento,Sacramento - Days on Hand,Lead Time - Austin,Austin Days on Hand
SKUW1,International,34,8,28,8,32,8
SKUW2,International,34,8,28,8,32,8
SKUW3,International,34,8,28,8,32,8
SKUA1,Domestic,5,14,11,14,9,14
SKUA2,Domestic,5,14,11,14,9,14
SKUA3,Domestic,5,14,11,14,9,14
SKUT1,Domestic,8,14,3,14,7,14
SKUT2,Domestic,8,14,3,14,7,14
SKUT3,Domestic,8,14,3,14,7,14
SKUT4,Domestic,8,14,3,14,7,14
SKUD1,Domestic,7,14,10,14,8,14
SKUD2,Domestic,7,14,10,14,8,14
SKUD3,Domestic,7,14,10,14,8,14
SKUC1,Domestic,6,14,15,14,11,14
SKUC2,Domestic,6,14,15,14,11,14
SKUE1,International,37,8,31,8,35,8
SKUE2,International,37,8,31,8,35,8
SKUE3,International,37,8,31,8,35,8
