SKU Number,Supplier Type,Lead Time - Columbus,Columbus - Days on Hand,Lead Time - Sacramento,Sacramento - Days on Hand,Lead Time - Austin,Austin Days on Hand
SKUW1,International,34,17.45877742003627,28,17.45877742003627,32,17.45877742003627
SKUW2,International,34,17.45877742003627,28,17.45877742003627,32,17.45877742003627
SKUW3,International,34,17.45877742003627,28,17.45877742003627,32,17.45877742003627
SKUA1,Domestic,5,7.458777420036269,11,7.458777420036269,9,7.458777420036269
SKUA2,Domestic,5,7.458777420036269,11,7.458777420036269,9,7.458777420036269
SKUA3,Domestic,5,7.458777420036269,11,7.458777420036269,9,7.458777420036269
SKUT1,Domestic,8,7.458777420036269,3,7.458777420036269,7,7.458777420036269
SKUT2,Domestic,8,7.458777420036269,3,7.458777420036269,7,7.458777420036269
SKUT3,Domestic,8,7.458777420036269,3,7.458777420036269,7,7.458777420036269
SKUT4,Domestic,8,7.458777420036269,3,7.458777420036269,7,7.458777420036269
SKUD1,Domestic,7,7.458777420036269,10,7.458777420036269,8,7.458777420036269
SKUD2,Domestic,7,7.458777420036269,10,7.458777420036269,8,7.458777420036269
SKUD3,Domestic,7,7.458777420036269,10,7.458777420036269,8,7.458777420036269
SKUC1,Domestic,6,7.458777420036269,15,7.458777420036269,11,7.458777420036269
SKUC2,Domestic,6,7.458777420036269,15,7.458777420036269,11,7.458777420036269
SKUE1,International,37,17.45877742003627,31,17.45877742003627,35,17.45877742003627
SKUE2,International,37,17.45877742003627,31,17.45877742003627,35,17.45877742003627
SKUE3,International,37,17.45877742003627,31,17.45877742003627,35,17.45877742003627
